#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
120,Mongolia,"26,692","+1,328",61,+5,"13,772",+426,"12,859",88,"8,038",18,"2,606,797","784,972","3,320,878",Asia,124,"54,441",1,400,2,"3,872"
121,Angola,"25,051",+168,572,+2,"22,901",+19,"1,578",24,744,17,"449,666","13,349","33,685,981",Africa,"1,345","58,892",75,5,0.06,47
122,Rwanda,"24,262",+150,328,+1,"22,649",+70,"1,285",6,"1,837",25,"1,273,629","96,412","13,210,318",Africa,544,"40,275",10,11,0.08,97
123,Gabon,"22,228",,136,,"18,908",,"3,184",28,"9,801",60,"703,735","310,292","2,267,973",Africa,102,"16,676",3,,,"1,404"
124,Guinea,"21,745",+79,139,,"19,080",+76,"2,526",24,"1,620",10,"423,364","31,550","13,418,878",Africa,617,"96,539",32,6,,188
125,Syria,"21,725",+141,"1,496",+13,"15,376",+160,"4,853",,"1,218",84,"103,566","5,804","17,842,481",Asia,821,"11,927",172,8,0.7,272
126,Cabo Verde,"21,500",+321,199,+1,"18,689",+189,"2,612",23,"38,333",355,"142,081","253,323","560,868",Africa,26,"2,818",4,572,2,"4,657"
127,Mayotte,"19,849",,169,,"2,964",,"16,716",7,"71,372",608,"165,683","595,751","278,108",Africa,14,"1,646",2,,,"60,106"
128,Réunion,"19,343",,141,,"17,653",,"1,549",36,"21,481",157,"100,098","111,160","900,484",Africa,47,"6,386",9,,,"1,720"
129,French Polynesia,"18,725",+3,141,,"4,842",,"13,742",4,"66,348",500,"26,355","93,384","282,223",Australia/Oceania,15,"2,002",11,11,,"48,692"
130,French Guiana,"18,693",+148,97,+1,"9,995",,"8,601",14,"61,308",318,"207,166","679,449","304,903",South America,16,"3,143",1,485,3,"28,209"
131,Eswatini,"18,426",+3,671,,"17,722",+1,33,3,"15,750",574,"180,857","154,595","1,169,876",Africa,63,"1,743",6,3,,28
132,Mauritania,"18,192",+17,454,,"17,553",+13,185,14,"3,832",96,"225,642","47,525","4,747,845",Africa,261,"10,458",21,4,,39
133,Guadeloupe,"13,669",,185,,"2,242",,"11,242",23,"34,157",462,"171,662","428,962","400,180",North America,29,"2,163",2,,,"28,092"
134,Somalia,"13,459",,689,,"5,593",,"7,177",,828,42,"107,545","6,618","16,249,211",Africa,"1,207","23,584",151,,,442
135,Mali,"13,420",+84,456,+5,"7,732",+86,"5,232",,648,22,"248,587","11,998","20,718,946",Africa,"1,544","45,436",83,4,0.2,253
136,Tajikistan,"13,308",,90,,"13,218",,0,,"1,371",9,,,"9,710,017",Asia,730,"107,889",,,,
137,Burkina Faso,"13,212",+45,156,+1,"12,862",+50,194,,618,7,"178,033","8,333","21,363,544",Africa,"1,617","136,946",120,2,0.05,9
138,Haiti,"12,944",,251,,"11,945",,748,,"1,124",22,"60,085","5,218","11,514,830",North America,890,"45,876",192,,,65
139,Andorra,"12,942",+25,123,,"12,375",+41,444,25,"167,285","1,590","193,595","2,502,359","77,365",Europe,6,629,0,323,,"5,739"
140,Togo,"12,698",+41,121,,"10,512",+81,"2,065",,"1,505",14,"303,681","36,003","8,434,786",Africa,664,"69,709",28,5,,245
141,Belize,"12,596",+11,320,+2,"12,164",,112,1,"31,221",793,"113,007","280,104","403,446",North America,32,"1,261",4,27,5,278
142,Guyana,"12,234",+102,277,+3,"10,555",+113,"1,402",12,"15,493",351,"112,862","142,931","789,627",South America,65,"2,851",7,129,4,"1,776"
143,Curaçao,"12,022",+39,99,+4,"10,011",+191,"1,912",22,"73,021",601,"90,143","547,526","164,637",North America,14,"1,663",2,237,24,"11,613"
144,Hong Kong,"11,719",+14,209,,"11,316",+14,194,3,"1,553",28,"11,193,673","1,483,353","7,546,194",Asia,644,"36,106",1,2,,26
145,Lesotho,"10,723",+3,316,,"6,267",+292,"4,140",,"4,974",147,"75,930","35,218","2,155,991",Africa,201,"6,823",28,1,,"1,920"
146,Djibouti,"10,697",+64,130,+1,"10,007",+206,560,,"10,701",130,"146,154","146,213","999,597",Africa,93,"7,689",7,64,1,560
147,Martinique,"10,611",,68,,98,,"10,445",24,"28,294",181,"149,454","398,513","375,029",North America,35,"5,515",3,,,"27,851"
148,South Sudan,"10,504",+18,114,,"10,250",,140,,930,10,"146,233","12,941","11,299,771",Africa,"1,076","99,121",77,2,,12
